Artist,Label
The Offspring,Sony
Ofra Haza,Sony
Oh Land,Sony
OJ,Sony
Ol' Dirty Bastard,Sony
Olly Murs,Sony
O'Shea,Sony
Our Lady Peace,Sony
Outlandish,Sony
OutKast,Sony
O-Zone,Sony
Ozzy Osbourne,Sony
Omarion,Sony
One Direction,Sony
Only Boys Aloud,Sony
P9,Sony
Pabllo Vittar,Sony
Padi,Sony
Paloma Faith,Sony
Passion Pit,Sony
Pato Fu,Sony
Paloma Mami,Sony
Paula DeAnda,Sony
Paula Tsui,Sony
Paul McCartney,Sony
Paul Potts,Sony
Paul Simon,Sony
Pearl Jam,Sony
Peking Duk,Sony
Penny Tai,Sony
Pet Shop Boys,Sony
Pentatonix,Sony
Pete Murray,Sony
Pete Rock,Sony
Peter Bjorn and John,Sony
Peter Frampton,Sony
Peter Gabriel,Sony
Pereza,Sony
Phenomena,Sony
Phil Collins,Sony
Philadelphia Orchestra,Sony
Pink,Sony
Pink Floyd,Sony
Pitbull,Sony
Planet Hemp,Sony
Pnau,Sony
Preme,Sony
PrettyMuch,Sony
Prodigy,Sony
Project Pat,Sony
Prilly Latuconsina,Sony
Prince Royce,Sony
Qwote,Sony
Q-Tip,Sony
R. Kelly,Sony
The Raccoons,Sony
Rachel Crow,Sony
Raekwon,Sony
Randy Newman,Sony
Randy Travis,Sony
Rage Against the Machine,Sony
Raleigh Ritchie,Sony
Ram Jam,Sony
Real McCoy,Sony
Rebecca Ferguson,Sony
Red,Sony
Redbone,Sony
RedFaces,Sony
Rednex,Sony
Reigan Derry,Sony
Ricardo Arjona,Sony
Rick Astley,Sony
Rick Ross,Sony
Rick Springfield,Sony
Ricky Martin,Sony
Rihanna,Sony
Rhydian Roberts,Sony
Robert Goulet,Sony
Robert Tepper,Sony
Robertinho do Recife,Sony
Royal Philharmonic Orchestra,Sony
RPM,Sony
Rita Ora,Sony
Ruby Gloom,Sony
Ruel,Sony
RUFUS,Sony
RZA,Sony
Saara Aalto,Sony
Sadat X,Sony
Sade,Sony
Saiful,Sony
Samantha Fox,Sony
Samantha Jade,Sony
Santana,Sony
Sara Paxton,Sony
SB19,Sony
Scandal,Sony
Scatman John,Sony
Scorpions (band),Sony
Scouting For Girls,Sony
The Script,Sony
Sean Kingston,Sony
SEARCH,Sony
Sepultura,Sony
Serebro,Sony
The Shakin' Pyramids,Sony
Shakira,Sony
SHE Band,Sony
Sheila on 7,Sony
Silent Sanctuary,Sony
Simon and Garfunkel,Sony
Skank,Sony
Skee-Lo,Sony
Spandau Ballet,Sony
Stereopony,Sony
Stonebwoy,Sony
Slim Whitman,Sony
Stan Walker,Sony
Steps,Sony
Steve Barakatt,Sony
Seven Network,Sony
Sergey Lazarev,Sony
The Strokes,Sony
Sıla,Sony
Spitalfield,Sony
Sasha Dobson,Sony
Shila Amzah,Sony
Skrillex,Sony
Slayer,Sony
Slot Machine (band),Sony
Smash Mouth,Sony
Snoh Aalegra,Sony
Snoop Dogg,Sony
Son Dam Bi,Sony
Sonny Moore,Sony
Sonohra,Sony
Sons of Apollo,Sony
Soraya Arnelas,Sony
Stan Bush,Sony
Starship,Sony
Steve Perry,Sony
Steve Winwood,Sony
Steven Van Zandt,Sony
Stevie Wonder,Sony
Sueden,Sony
Sugababes,Sony
Suicidal Tendencies,Sony
Sum 41,Sony
Supercell,Sony
Superman Is Dead,Sony
Survivor,Sony
Susan Anton,Sony
Susan Boyle,Sony
Su Yunying,Sony
Svetlana Loboda,Sony
Sweet Sable,Sony
Switchfoot,Sony
System of a Down,Sony
Sorten Muld,Sony
SZA,Sony
T1419,Sony
T-Pain,Sony
T-Square,Sony
Taco,Sony
Tamera Foster,Sony
Tash,Sony
Tata Young,Sony
Taylor Henderson,Sony
Taylor Swift,Sony
Tasya Kamila,Sony
Tatjana Saphira,Sony
Tedua,Sony
Teen Angels,Sony
Tekno Miles,Sony
Tenacious D,Sony
Terryana Fatiah,Sony
Thalía,Sony
The Backyardigans,Sony
The Black Eyed Peas,Sony
The Boyz,Sony
The Clash,Sony
The Presidents of the United States of America,Sony
The Remix Master,Sony
The Sam Willows,Sony
The Script,Sony
Theo Tams,Sony
The Changcuters,Sony
The Eraserheads,Sony
The Stunners,Sony
The Gazette,Sony
The Ting Tings,Sony
The Urge,Sony
The Veronicas,Sony
The Vines,Sony
Three Days Grace,Sony
Three 6 Mafia,Sony
T. Mills,Sony
Tim Hwang,Sony
Tim Feehan,Sony
Tim McGraw,Sony
Tim Omaji,Sony
